"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"1048NFL26",1,0,9900,0,9900,0,0,-0.96,""
"AARTIIND",9,577.49,440.95,5197.4,3968.55,-1228.85,-23.64,-2.79,""
"AJANTPHARM",5,2723,2852.7,13615,14263.5,648.5,4.76,1.26,""
"AMBUJACEM",6,564.5,529.5,3387,3177,-210,-6.2,-0.67,""
"ANGELONE",7,2581.77,2642,18072.4,18494,421.6,2.33,-0.11,""
"ARE&M",4,1404.95,865.7,5619.8,3462.8,-2157,-38.38,-1.22,""
"ASIANPAINT",7,2418.14,2402.7,16927,16818.9,-108.1,-0.64,-1.21,""
"AUTOBEES",18,258.14,281.94,4646.46,5074.92,428.46,9.22,-0.51,""
"BALAMINES",3,2106.85,1125.4,6320.55,3376.2,-2944.35,-46.58,1.83,""
"BANKBEES",8,532.76,619.79,4262.08,4958.32,696.24,16.34,-0.12,""
"BDL",2,1208.95,1268.85,2417.9,2537.7,119.8,4.95,-0.3,""
"BEL",10,266.15,429.65,2661.5,4296.5,1635,61.43,-0.75,""
"BIOCON",5,360.95,365.4,1804.75,1827,22.25,1.23,-0.65,""
"BSOFT",22,486.4,435.7,10700.8,9585.4,-1115.4,-10.42,-5.4,""
"CAMS",5,722.6,722.8,3613,3614,1,0.03,-1.13,""
"CIPLA",11,1615.04,1330.8,17765.45,14638.8,-3126.65,-17.6,-0.14,""
"COCHINSHIP",4,1524,1490.1,6096,5960.4,-135.6,-2.22,0.49,""
"CONSUMBEES",32,133.81,131.16,4281.92,4197.12,-84.8,-1.98,0.73,""
"DELTACORP",7,127.45,65.88,892.15,461.16,-430.99,-48.31,1.35,""
"DMART",6,3893.3,3889.9,23359.8,23339.4,-20.4,-0.09,-1.14,""
"EICHERMOT",3,4711.98,7177.5,14135.95,21532.5,7396.55,52.32,-0.44,""
"EIHOTEL",10,392.8,349,3928,3490,-438,-11.15,2.17,""
"ELGIEQUIP",5,434.9,485.8,2174.5,2429,254.5,11.7,-0.37,""
"ESCORTS",2,3737.55,3763.7,7475.1,7527.4,52.3,0.7,1.34,""
"FINIETF",211,27.05,32.25,5707.46,6804.75,1097.29,19.23,0.16,""
"GMBREW",4,635.84,1033.7,2543.35,4134.8,1591.45,62.57,1.64,""
"GREAVESCOT",11,164.14,168.72,1805.49,1855.92,50.43,2.79,-0.4,""
